time,Open,High,Low,Close,Volume
2025-12-07 23:00:00,4202.426,4208.458,4189.804,4199.288,437
2025-12-07 23:30:00,4200.815,4202.723,4199.409,4201.389,1752
2025-12-08 00:00:00,4201.433,4207.946,4199.461,4205.836,4892
2025-12-08 00:30:00,4205.817,4211.65,4204.772,4210.843,4193
2025-12-08 01:00:00,4210.955,4211.902,4201.221,4208.106,10961
2025-12-08 01:30:00,4208.062,4209.718,4197.576,4201.123,9046
2025-12-08 02:00:00,4201.082,4203.609,4198.448,4203.251,5676
2025-12-08 02:30:00,4203.25,4212.43,4199.266,4208.514,7467
2025-12-08 03:00:00,4208.411,4213.415,4206.776,4209.862,4922
2025-12-08 03:30:00,4209.91,4211.774,4206.73,4210.017,3691
2025-12-08 04:00:00,4210.051,4212.055,4208.542,4209.528,2597
2025-12-08 04:30:00,4209.492,4213.233,4206.954,4208.501,2919
2025-12-08 05:00:00,4208.58,4209.556,4204.603,4206.35,3468
2025-12-08 05:30:00,4206.402,4217.229,4206.402,4217.009,5663
2025-12-08 06:00:00,4217.045,4218.49,4212.246,4216.506,5231
2025-12-08 06:30:00,4216.476,4218.963,4215.059,4217.001,4528
2025-12-08 07:00:00,4217.044,4217.372,4212.557,4213.874,4705
2025-12-08 07:30:00,4213.888,4216.316,4206.297,4206.864,5256
2025-12-08 08:00:00,4206.863,4216.531,4203.166,4209.299,5785
2025-12-08 08:30:00,4209.268,4212.064,4205.013,4209.883,5562
2025-12-08 09:00:00,4209.772,4210.852,4204.09,4210.587,5111
2025-12-08 09:30:00,4210.633,4212.766,4206.106,4207.989,4453
2025-12-08 10:00:00,4207.958,4210.34,4205.544,4205.899,3353
2025-12-08 10:30:00,4205.957,4208.251,4200.935,4203.561,5226
2025-12-08 11:00:00,4203.515,4209.675,4199.622,4209.471,4213
2025-12-08 11:30:00,4209.47,4214.039,4208.383,4208.383,4355
2025-12-08 12:00:00,4208.438,4212.961,4208.378,4211.651,4004
2025-12-08 12:30:00,4211.63,4215.564,4210.859,4213.723,4142
2025-12-08 13:00:00,4213.81,4214.768,4202.36,4203.113,10583
2025-12-08 13:30:00,4203.105,4206.49,4197.623,4201.607,9061
2025-12-08 14:00:00,4201.639,4211.588,4197.348,4208.82,7086
2025-12-08 14:30:00,4208.875,4210.963,4195.474,4196.711,17136
2025-12-08 15:00:00,4196.74,4196.915,4176.137,4191.934,19305
2025-12-08 15:30:00,4191.966,4193.27,4182.007,4182.933,9567
2025-12-08 16:00:00,4182.891,4196.125,4177.118,4194.86,9269
2025-12-08 16:30:00,4194.874,4197.891,4187.921,4191.592,7645
2025-12-08 17:00:00,4191.629,4191.968,4185.565,4191.933,5671
2025-12-08 17:30:00,4192.018,4195.59,4187.946,4194.81,5080
2025-12-08 18:00:00,4194.849,4195.712,4187.068,4188.726,5309
2025-12-08 18:30:00,4188.761,4192.28,4184.508,4187.327,5022
2025-12-08 19:00:00,4187.287,4188.726,4184.122,4187.798,4824
2025-12-08 19:30:00,4187.695,4188.84,4184.99,4187.057,3662
2025-12-08 20:00:00,4187.017,4191.406,4184.898,4189.276,3891
2025-12-08 20:30:00,4189.281,4195.497,4189.145,4191.504,4077
2025-12-08 21:00:00,4191.537,4193.206,4189.785,4190.589,1711
2025-12-08 21:30:00,4190.579,4190.856,4188.263,4190.613,1919
2025-12-08 23:00:00,4190.08,4193.987,4190.08,4192.884,2141
2025-12-08 23:30:00,4192.913,4195.41,4191.592,4194.735,2372
2025-12-09 00:00:00,4194.74,4195.696,4191.383,4192.198,2923
2025-12-09 00:30:00,4192.159,4194.218,4189.875,4190.444,3118
2025-12-09 01:00:00,4190.482,4197.341,4188.772,4194.24,7268
2025-12-09 01:30:00,4194.273,4197.196,4193.877,4196.101,5138
2025-12-09 02:00:00,4196.063,4197.123,4189.474,4190.508,4589
2025-12-09 02:30:00,4190.632,4191.044,4186.012,4189.827,6555
2025-12-09 03:00:00,4189.869,4198.244,4189.869,4198.01,4861
2025-12-09 03:30:00,4197.974,4198.844,4193.603,4194.538,4017
2025-12-09 04:00:00,4194.523,4195.673,4191.861,4193.824,3412
2025-12-09 04:30:00,4193.788,4195.686,4184.386,4186.966,4114
2025-12-09 05:00:00,4186.966,4187.29,4183.41,4185.273,3989
2025-12-09 05:30:00,4185.298,4185.668,4178.114,4179.793,7711
2025-12-09 06:00:00,4179.764,4179.908,4170.097,4178.506,9275
2025-12-09 06:30:00,4178.548,4184.021,4176.478,4182.013,5878
2025-12-09 07:00:00,4182.069,4185.866,4175.797,4178.565,7315
2025-12-09 07:30:00,4178.528,4183.675,4178.309,4182.368,5276
2025-12-09 08:00:00,4182.332,4189.327,4182.332,4186.227,5931
2025-12-09 08:30:00,4186.151,4191.89,4185.484,4191.625,5042
2025-12-09 09:00:00,4191.667,4213.14,4190.812,4207.121,11643
2025-12-09 09:30:00,4207.226,4209.193,4200.635,4202.77,7203
2025-12-09 10:00:00,4202.808,4208.351,4201.756,4204.337,6030
2025-12-09 10:30:00,4204.291,4205.974,4201.251,4203.928,5587
2025-12-09 11:00:00,4203.965,4205.488,4201.2,4203.807,4555
2025-12-09 11:30:00,4203.832,4206.468,4202.508,4202.976,3722
2025-12-09 12:00:00,4203.024,4205.302,4198.515,4202.248,4637
2025-12-09 12:30:00,4202.37,4207.621,4201.176,4204.204,4476
2025-12-09 13:00:00,4204.18,4208.403,4198.276,4201.948,11374
2025-12-09 13:30:00,4201.948,4203.414,4195.763,4201.264,9838
2025-12-09 14:00:00,4201.238,4202.017,4189.416,4193.395,11400
2025-12-09 14:30:00,4193.426,4210.295,4192.588,4204.982,18533
2025-12-09 15:00:00,4204.938,4208.525,4190.099,4206.239,17245
2025-12-09 15:30:00,4206.261,4216.496,4198.795,4212.562,14849
2025-12-09 16:00:00,4212.522,4220.756,4210.174,4213.671,15826
2025-12-09 16:30:00,4213.566,4221.526,4211.567,4212.37,10359
2025-12-09 17:00:00,4212.384,4216.34,4204.963,4207.776,9065
2025-12-09 17:30:00,4207.802,4209.039,4201.544,4203.051,8718
2025-12-09 18:00:00,4202.976,4208.215,4201.215,4207.221,7862
2025-12-09 18:30:00,4207.26,4209.707,4204.089,4208.871,5882
2025-12-09 19:00:00,4208.914,4212.406,4207.594,4208.291,5984
2025-12-09 19:30:00,4208.392,4214.471,4207.131,4212.577,5296
2025-12-09 20:00:00,4212.54,4216.058,4208.92,4210.742,4846
2025-12-09 20:30:00,4210.708,4213.733,4209.357,4212.123,11768
2025-12-09 21:00:00,4212.081,4212.984,4208.775,4210.077,12548
2025-12-09 21:30:00,4210.228,4210.556,4207.159,4208.515,2603
2025-12-09 23:00:00,4208.202,4210.971,4207.804,4210.303,3017
2025-12-09 23:30:00,4210.351,4213.019,4209.414,4210.87,2952
2025-12-10 00:00:00,4210.815,4212.703,4207.092,4209.126,4507
2025-12-10 00:30:00,4209.204,4209.715,4207.063,4208.473,3625
