time,Open,High,Low,Close,Volume
2025-12-07 23:00:00,4202.426,4208.458,4189.804,4201.389,2189
2025-12-08 00:00:00,4201.433,4211.65,4199.461,4210.843,9085
2025-12-08 01:00:00,4210.955,4211.902,4197.576,4201.123,20007
2025-12-08 02:00:00,4201.082,4212.43,4198.448,4208.514,13143
2025-12-08 03:00:00,4208.411,4213.415,4206.73,4210.017,8613
2025-12-08 04:00:00,4210.051,4213.233,4206.954,4208.501,5516
2025-12-08 05:00:00,4208.58,4217.229,4204.603,4217.009,9131
2025-12-08 06:00:00,4217.045,4218.963,4212.246,4217.001,9759
2025-12-08 07:00:00,4217.044,4217.372,4206.297,4206.864,9961
2025-12-08 08:00:00,4206.863,4216.531,4203.166,4209.883,11347
2025-12-08 09:00:00,4209.772,4212.766,4204.09,4207.989,9564
2025-12-08 10:00:00,4207.958,4210.34,4200.935,4203.561,8579
2025-12-08 11:00:00,4203.515,4214.039,4199.622,4208.383,8568
2025-12-08 12:00:00,4208.438,4215.564,4208.378,4213.723,8146
2025-12-08 13:00:00,4213.81,4214.768,4197.623,4201.607,19644
2025-12-08 14:00:00,4201.639,4211.588,4195.474,4196.711,24222
2025-12-08 15:00:00,4196.74,4196.915,4176.137,4182.933,28872
2025-12-08 16:00:00,4182.891,4197.891,4177.118,4191.592,16914
2025-12-08 17:00:00,4191.629,4195.59,4185.565,4194.81,10751
2025-12-08 18:00:00,4194.849,4195.712,4184.508,4187.327,10331
2025-12-08 19:00:00,4187.287,4188.84,4184.122,4187.057,8486
2025-12-08 20:00:00,4187.017,4195.497,4184.898,4191.504,7968
2025-12-08 21:00:00,4191.537,4193.206,4188.263,4190.613,3630
2025-12-08 23:00:00,4190.08,4195.41,4190.08,4194.735,4513
2025-12-09 00:00:00,4194.74,4195.696,4189.875,4190.444,6041
2025-12-09 01:00:00,4190.482,4197.341,4188.772,4196.101,12406
2025-12-09 02:00:00,4196.063,4197.123,4186.012,4189.827,11144
2025-12-09 03:00:00,4189.869,4198.844,4189.869,4194.538,8878
2025-12-09 04:00:00,4194.523,4195.686,4184.386,4186.966,7526
2025-12-09 05:00:00,4186.966,4187.29,4178.114,4179.793,11700
2025-12-09 06:00:00,4179.764,4184.021,4170.097,4182.013,15153
2025-12-09 07:00:00,4182.069,4185.866,4175.797,4182.368,12591
2025-12-09 08:00:00,4182.332,4191.89,4182.332,4191.625,10973
2025-12-09 09:00:00,4191.667,4213.14,4190.812,4202.77,18846
2025-12-09 10:00:00,4202.808,4208.351,4201.251,4203.928,11617
2025-12-09 11:00:00,4203.965,4206.468,4201.2,4202.976,8277
2025-12-09 12:00:00,4203.024,4207.621,4198.515,4204.204,9113
2025-12-09 13:00:00,4204.18,4208.403,4195.763,4201.264,21212
2025-12-09 14:00:00,4201.238,4210.295,4189.416,4204.982,29933
2025-12-09 15:00:00,4204.938,4216.496,4190.099,4212.562,32094
2025-12-09 16:00:00,4212.522,4221.526,4210.174,4212.37,26185
2025-12-09 17:00:00,4212.384,4216.34,4201.544,4203.051,17783
2025-12-09 18:00:00,4202.976,4209.707,4201.215,4208.871,13744
2025-12-09 19:00:00,4208.914,4214.471,4207.131,4212.577,11280
2025-12-09 20:00:00,4212.54,4216.058,4208.92,4212.123,16614
2025-12-09 21:00:00,4212.081,4212.984,4207.159,4208.515,15151
2025-12-09 23:00:00,4208.202,4213.019,4207.804,4210.87,5969
2025-12-10 00:00:00,4210.815,4212.703,4207.063,4208.473,8132
2025-12-10 01:00:00,4208.395,4218.165,4206.902,4213.813,17894
2025-12-10 02:00:00,4213.786,4218.778,4211.536,4216.996,11244
2025-12-10 03:00:00,4216.962,4217.242,4203.765,4206.3,12047
2025-12-10 04:00:00,4206.378,4209.705,4205.446,4207.054,5809
2025-12-10 05:00:00,4206.948,4214.406,4201.77,4211.431,10195
2025-12-10 06:00:00,4211.354,4211.744,4203.119,4207.375,12428
2025-12-10 07:00:00,4207.435,4209.459,4203.229,4203.392,9775
2025-12-10 08:00:00,4203.357,4206.613,4197.023,4197.856,12566
