signal_id,sample_source,time,timeframe,hour,day_of_week,setup_type,direction,entry_price,sl_price,tp_price,risk_pips,atr_14,trend,relative_risk,killzone,fvg_width,relative_fvg_width,near_psychological_level,knn_prob_sig,knn_prob_opp,dist_entry_to_poc,dist_entry_to_nearest_poc,dist_entry_to_pp,dist_entry_to_nearest_pivot,floop_signal,floop_strength,floop_trend,floop_trend_aligned,confidence,accept_threshold,resolved_at,result,pnl_relative,label,rr_ratio,atr_percentile,body_to_range_ratio,dist_to_recent_swing,htf_trend_aligned,confluence_score,order_type,reaction_strength
M30_FVG_DUAL_BEAR_4060.785_4062.376_2026-07-09_03:30:00_0.5,shadow,2026-07-09 03:30:00,30,3,3,0,-1,4060.7855,4069.525,4054.046,8.739500000000135,10.445785714285778,-1,0.836653195752225,3,0.18499999999994543,0.01771049158580166,1,0.8155661947931518,0.18443380520684816,0.001165299870917197,0.0011639435276746427,-0.004062239465090338,0.0040788085622022645,0,7.0,-1,1,0.4381625441696113,0.5,2026-07-09 05:00:00,sl,-1.0,0,0.7711539561759861,0.0,0.0,0.0,1,0,0,0.0
M30_FVG_DUAL_BEAR_4060.785_4062.376_2026-07-09_03:30:00_0.618,shadow,2026-07-09 03:30:00,30,3,3,0,-1,4062.376022,4069.525,4054.046,7.14897800000017,10.445785714285778,-1,0.6843887281952514,3,0.18499999999994543,0.01771049158580166,0,0.8155661947931518,0.18443380520684816,0.0015574347017476497,0.0015550128707410933,-0.0036721521485449378,0.003685686550329594,0,7.0,-1,1,0.4381625441696113,0.5,2026-07-09 05:00:00,sl,-1.0,0,1.1652045928802552,0.0,0.0,0.0,1,0,0,0.0
H1_Pivot_SINGLE_BEAR_4075.000_2026-07-09_02:00:00,shadow,2026-07-09 02:00:00,60,2,3,2,-1,4075.0,4079.3486666666668,4066.3026666666665,4.348666666666759,19.712571428571437,-1,0.22060372399532785,3,0.0,0.0,1,1.0,0.0,0.0012784790474246455,0.0012768466257668278,-0.000576027918796273,0.0005763599182004316,0,3.0,1,0,0.4246575342465753,0.5,2026-07-09 05:00:00,tp,2.0,1,2.0,0.0,0.0,0.0,0,0,0,0.0
H4_Swapzone_SINGLE_BEAR_4092.023_2026-07-08_08:00:00,shadow,2026-07-08 08:00:00,240,8,2,1,-1,4092.023,4092.523,4091.023,0.5,34.401928571428506,-1,0.014534068895639183,0,0.0,0.0,0,0.6322148759963746,0.3677851240036253,0.007112055162603797,0.007061831030764016,-0.0076780840437618925,0.006136084767851859,0,14.0,-1,1,0.3681917211328976,0.5,2026-07-09 04:00:00,sl,-1.0,0,2.0,0.0,0.0,0.0,1,0,0,0.0
M30_Swapzone_SINGLE_BEAR_4096.378_2026-07-08_08:00:00,shadow,2026-07-08 08:00:00,30,8,2,1,-1,4096.378,4096.878,4095.3779999999997,0.5,13.216928571428655,-1,0.037830271783480904,0,0.0,0.0,0,0.5001619857140076,0.4998380142859923,0.005217717526120482,0.005190634262756018,-0.006621508006313844,0.0066656446255692935,0,10.0,-1,1,0.4246575342465753,0.5,2026-07-09 06:00:00,sl,-1.0,0,2.0,0.0,0.0,0.0,1,0,0,0.0
M30_Swapzone_SINGLE_BEAR_4096.303_2026-07-08_08:00:00,shadow,2026-07-08 08:00:00,30,8,2,1,-1,4096.303,4096.803,4095.303,0.5,13.227785714285671,-1,0.0377992213360406,0,0.0,0.0,0,0.2101929771331892,0.7898070228668108,0.005199313138435977,0.005172420106618127,-0.0066401774141333575,0.006684564105731563,0,10.0,-1,1,0.4246575342465753,0.5,2026-07-09 06:00:00,sl,-1.0,0,2.0,0.0,0.0,0.0,1,0,0,0.0
H1_FVG_DUAL_BEAR_4086.717_4094.902_2026-07-08_09:00:00_0.618,shadow,2026-07-08 09:00:00,60,9,2,0,-1,4094.902098,4123.398,4052.037,28.495902000000115,21.118071428571447,-1,1.3493610009030899,1,53.488000000000284,2.532807040686221,1,1.0,0.0,0.006168673505165214,0.006130854266885051,-0.006979898319100604,0.006834863772120238,0,11.0,-1,1,0.4803001876172607,0.5,2026-07-08 10:00:00,tp,1.504255,1,1.50425482232498,0.0,0.0,0.0,1,0,0,0.0
H1_Swapzone_SINGLE_BEAR_4100.085_2026-07-07_22:00:00,shadow,2026-07-07 22:00:00,60,22,1,1,-1,4100.085,4100.585,4099.085,0.5,17.96528571428569,-1,0.027831452722313705,0,0.0,0.0,1,0.6720348895206586,0.3279651104793413,-0.006362462480130968,0.006403202616531325,-0.015110454674040886,0.002894655436005079,0,12.0,-1,1,0.3258426966292135,0.5,2026-07-07 23:00:00,sl,-1.0,0,2.0,0.0,0.0,0.0,1,0,0,0.0
M30_IC_DUAL_BEAR_4109.089_4109.891_2026-07-09_10:00:00_0.5,shadow,2026-07-09 10:00:00,30,10,3,1,-1,4109.089,4114.487,4105.691,5.398000000000138,10.545285714285683,1,0.5118875055881583,1,0.0,0.0,1,0.27335881420645325,0.7266411857935469,0.000492340406651827,0.0004920981268599362,0.007782574821759532,0.005818889134144638,0,10.0,1,0,0.4803001876172607,0.5,2026-07-09 11:30:00,tp,0.629492,1,0.6294924045943037,0.0,0.0,0.0,0,0,0,0.0
M30_IC_DUAL_BEAR_4109.089_4109.891_2026-07-09_10:00:00_0.618,shadow,2026-07-09 10:00:00,30,10,3,1,-1,4109.890928,4114.487,4105.691,4.596072000000277,10.545285714285683,1,0.4358413915493996,1,0.0,0.0,1,0.27335881420645325,0.7266411857935469,0.0006875960512868026,0.0006871235878210708,0.007979253225333055,0.0056226322640096586,0,10.0,1,0,0.4803001876172607,0.5,2026-07-09 11:30:00,tp,0.913808,1,0.9138081387758389,0.0,0.0,0.0,0,0,0,0.0
