timeframe,capital,strategy,max_concurrent,ml_threshold,sizing_config,total_resolved,wins,losses,winrate,final_balance,max_dd_usd,max_dd_pct,blown
M15,50.0,BB,5,0.85,equal,0,0,0,0.0,50.0,0.0,0.0,False
M15,50.0,BB,100,0.0,equal,103,39,64,37.86407766990291,78.0,14.0,20.588235294117645,False
M15,50.0,BB,100,0.5,equal,0,0,0,0.0,50.0,0.0,0.0,False
M15,50.0,BB,100,0.7,equal,0,0,0,0.0,50.0,0.0,0.0,False
M15,50.0,BB,100,0.8,equal,0,0,0,0.0,50.0,0.0,0.0,False
M15,50.0,BB,100,0.85,equal,0,0,0,0.0,50.0,0.0,0.0,False
M15,50.0,Swapzone,1,0.0,equal,905,389,516,42.98342541436464,1536.626973999997,291.9402960000025,92.66616765499728,False
M15,50.0,Swapzone,1,0.5,equal,26,9,17,34.61538461538461,135.61056400000052,116.24506400000064,67.26612171183281,False
M15,50.0,Swapzone,1,0.7,equal,0,0,0,0.0,50.0,0.0,0.0,False
M15,50.0,Swapzone,1,0.8,equal,0,0,0,0.0,50.0,0.0,0.0,False
M15,50.0,Swapzone,1,0.85,equal,0,0,0,0.0,50.0,0.0,0.0,False
M15,50.0,Swapzone,3,0.0,equal,82,30,52,36.58536585365854,0.0,58.90982599999825,111.63753166736723,True
M15,50.0,Swapzone,3,0.5,equal,27,10,17,37.03703703703704,150.06156400000054,116.24506400000064,67.26612171183281,False
M15,50.0,Swapzone,3,0.7,equal,0,0,0,0.0,50.0,0.0,0.0,False
M15,50.0,Swapzone,3,0.8,equal,0,0,0,0.0,50.0,0.0,0.0,False
M15,50.0,Swapzone,3,0.85,equal,0,0,0,0.0,50.0,0.0,0.0,False
M15,50.0,Swapzone,5,0.0,equal,82,30,52,36.58536585365854,0.0,58.90982599999825,111.63753166736723,True
M15,50.0,Swapzone,5,0.5,equal,27,10,17,37.03703703703704,150.06156400000054,116.24506400000064,67.26612171183281,False
M15,50.0,Swapzone,5,0.7,equal,0,0,0,0.0,50.0,0.0,0.0,False
M15,50.0,Swapzone,5,0.8,equal,0,0,0,0.0,50.0,0.0,0.0,False
M15,50.0,Swapzone,5,0.85,equal,0,0,0,0.0,50.0,0.0,0.0,False
M15,50.0,Swapzone,100,0.0,equal,82,30,52,36.58536585365854,0.0,58.90982599999825,111.63753166736723,True
M15,50.0,Swapzone,100,0.5,equal,27,10,17,37.03703703703704,150.06156400000054,116.24506400000064,67.26612171183281,False
M15,50.0,Swapzone,100,0.7,equal,0,0,0,0.0,50.0,0.0,0.0,False
